experiment,mse,mse_change_%,mae,mae_change_%,rmse,rmse_change_%,epochs,better_than_baseline
exp7_frozen_spec2llm,0.522582,2.6312455282613825,0.539229,2.3634664899453703,0.722898,1.3244590165724461,30,True
exp2_highlr,0.523829,2.3989014428809865,0.551313,0.17545384423175073,0.72376,1.2067960595194367,200,True
exp4_gpt2medium,0.529366,1.3672340806105332,0.550586,0.30708949413524805,0.727576,0.6859122496420216,30,True
exp6_combined,0.541011,-0.80249075840688,0.555408,-0.5660151878931347,0.735534,-0.40035435387067103,30,False
baseline,0.546664,-1.855771523968534,0.600856,-8.795144509507805,0.739367,-0.923558662901095,200,False
exp1_fullft,0.547243,-1.9636522179823659,0.557726,-0.9857283054671352,0.739759,-0.97706664337069,30,False
exp3_largepatch,0.844059,-57.26713421178155,0.567698,-2.791327618861376,0.918727,-25.406189726740752,200,False
exp5_morelayers,1.260314,-134.82478237538754,0.635148,-15.004291285973467,1.122637,-53.239894567438505,200,False
